央视,#genre#
CCTV-1综合,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-1综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1综合,http://39.135.32.236:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1综合,http://39.135.187.130/0000000000001001/1/index.m3u8?Contentid=1000000001000018602&livemode=1&stbId=2&channel-id=ystenlive
CCTV-1综合,http://39.136.66.40/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls
CCTV-1综合,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls
CCTV-1综合,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2财经,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?xtkg
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2财经,http://39.135.32.236:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2财经,http://39.135.187.130/0000000000001001/1/index.m3u8?Contentid=1000000001000023315&livemode=1&stbId=2&channel-id=ystenlive
CCTV-2财经,http://39.136.66.40/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-3综艺,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg
CCTV-3综艺,http://39.135.32.236:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV-3综艺,http://39.135.187.130/0000000000001001/1/index.m3u8?Contentid=1000000001000013682&livemode=1&stbId=2&channel-id=ystenlive
CCTV-3综艺,http://39.136.66.40/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV-3综艺,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV-3综艺,http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV-4国际,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4国际,http://39.136.66.40/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
